id,Name,Minimum players,Maximum players,Average game time,Year released,Mechanics,Category,Designer,More info URL,Image
1,Gloomhaven,1,4,150,2017,"Action / Movement Programming, Co-operative Play, Grid Movement, Hand Management, Modular Board, Role Playing, Simultaneous Action Selection, Storytelling, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Miniatures",Isaac Childres,https://boardgamegeek.com/boardgame/174430/gloomhaven,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__original/img/7d-lj5Gd1e8PFnD97LYFah2c45M=/0x0/filters:format(jpeg)/pic2437871.jpg
2,Pandemic Legacy: Season 1,2,4,60,2015,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Environmental, Medical","Rob Daviau, Matt Leacock",https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__original/img/PlzAH7swN1nsFxOXbfUvE3TkE5w=/0x0/filters:format(png)/pic2452831.png
3,Through the Ages: A New Story of Civilization,2,4,240,2015,"Action Point Allowance System, Auction/Bidding, Card Drafting","Card Game, Civilization, Economic",Vlaada Chvátil,https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization,https://cf.geekdo-images.com/fVwPntkJKgaEo0rIC0RwpA__original/img/1jawNpljTXwnT4km_2CjGwoUPR8=/0x0/filters:format(jpeg)/pic2663291.jpg
4,Twilight Struggle,2,2,180,2005,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection","Modern Warfare, Political, Wargame","Ananda Gupta, Jason Matthews",https://boardgamegeek.com/boardgame/12333/twilight-struggle,https://cf.geekdo-images.com/pNCiUUphnoeWOYfsWq0kng__original/img/Iae47UtAd_RXVd5tJ3YzbDHOv4E=/0x0/filters:format(jpeg)/pic3530661.jpg
5,Terraforming Mars,1,5,120,2016,"Card Drafting, Hand Management, Tile Placement, Variable Player Powers","Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building",Jacob Fryxelius,https://boardgamegeek.com/boardgame/167791/terraforming-mars,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__original/img/thIqWDnH9utKuoKVEUqveDixprI=/0x0/filters:format(jpeg)/pic3536616.jpg
6,Star Wars: Rebellion,2,4,240,2016,"Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Variable Player Powers","Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Corey Konieczka,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__original/img/GKueTbkCk2Ramf6ai8mDj-BP6cI=/0x0/filters:format(jpeg)/pic4325841.jpg
7,Terra Mystica,2,5,150,2012,"Area Control / Area Influence, Route/Network Building, Variable Phase Order, Variable Player Powers","Civilization, Economic, Fantasy, Territory Building","Jens Drögemüller, Helge Ostertag",https://boardgamegeek.com/boardgame/120677/terra-mystica,https://cf.geekdo-images.com/bre12I1YiXkZr7elvriz4A__original/img/_dZS7fVfdc4DhJPbqnDpwTT4uF0=/0x0/filters:format(jpeg)/pic5375624.jpg
8,Scythe,1,5,115,2016,"Area Control / Area Influence, Grid Movement, Simultaneous Action Selection, Variable Player Powers","Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building",Jamey Stegmaier,https://boardgamegeek.com/boardgame/169786/scythe,https://cf.geekdo-images.com/7k_nOxpO9OGIjhLq2BUZdA__original/img/HlDb9F365w0tSP8uD1vf1pfniQE=/0x0/filters:format(jpeg)/pic3163924.jpg
9,7 Wonders Duel,2,2,30,2015,"Card Drafting, Set Collection","Ancient, Card Game, City Building, Civilization","Antoine Bauza, Bruno Cathala",https://boardgamegeek.com/boardgame/173346/7-wonders-duel,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__original/img/Ju836WNSaW7Mab9Vjq2TJ_FqhWQ=/0x0/filters:format(jpeg)/pic2576399.jpg
10,Great Western Trail,2,4,150,2016,"Deck / Pool Building, Hand Management, Point to Point Movement, Tile Placement",American West,Alexander Pfister,https://boardgamegeek.com/boardgame/193738/great-western-trail,https://cf.geekdo-images.com/u1l0gH7sb_vnvDvoO_QHqA__original/img/2zv_XMQoPFWk9Dn0oS4JY1IeFzw=/0x0/filters:format(jpeg)/pic4887376.jpg
11,The Castles of Burgundy,2,4,90,2011,"Dice Rolling, Set Collection, Tile Placement, Variable Phase Order","Dice, Medieval, Territory Building",Stefan Feld,https://boardgamegeek.com/boardgame/84876/castles-burgundy,https://cf.geekdo-images.com/5CFwjd8zTcGYVUnkXh04hw__original/img/N8btACZrnEYK1amBNk26VBdcGwc=/0x0/filters:format(jpeg)/pic1176894.jpg
12,War of the Ring (Second Edition),2,4,180,2012,"Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management","Adventure, Dice, Fantasy, Fighting, Miniatures, Novel-based, Territory Building, Wargame","Roberto Di Meglio, Marco Maggi, Francesco Nepitello",https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__original/img/38jB7fN07DwlrGKYAf-J0vsNdgs=/0x0/filters:format(jpeg)/pic1215633.jpg
13,Caverna: The Cave Farmers,1,7,210,2013,"Tile Placement, Worker Placement","Animals, Economic, Fantasy, Farming",Uwe Rosenberg,https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers,https://cf.geekdo-images.com/rz22tqa5PCYvK9oDjIbvxg__original/img/h9il8XnFB0iqHNHsNTPNGxJZWdM=/0x0/filters:format(jpeg)/pic1790789.jpg
14,Puerto Rico,2,5,150,2002,Variable Phase Order,"City Building, Economic, Farming",Andreas Seyfarth,https://boardgamegeek.com/boardgame/3076/puerto-rico,https://cf.geekdo-images.com/QFiIRd2kimaMqTyWsX0aUg__original/img/DOgIp57F7tKZvxeITGAd3e_Q9as=/0x0/filters:format(jpeg)/pic158548.jpg
15,Agricola,1,5,150,2007,"Area Enclosure, Card Drafting, Hand Management, Variable Player Powers, Worker Placement","Animals, Economic, Farming",Uwe Rosenberg,https://boardgamegeek.com/boardgame/31260/agricola,https://cf.geekdo-images.com/dDDo2Hexl80ucK1IlqTk-g__original/img/toobKoejPiHpfpHk4SYd1UAJafw=/0x0/filters:format(jpeg)/pic831744.jpg
16,Mage Knight Board Game,1,4,150,2011,"Card Drafting, Co-operative Play, Deck / Pool Building, Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Tile Placement, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting",Vlaada Chvátil,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,https://cf.geekdo-images.com/DUO2hz9AlLOH8p9ED-lCWg__original/img/PDDH38Vf9NEB_4ODURxcJKNBfVQ=/0x0/filters:format(jpeg)/pic1083380.jpg
