Channel Id,Channel Url,Channel Title
UC-X348Le6FmIfc9zxH4KYNA,http://www.youtube.com/channel/UC-X348Le6FmIfc9zxH4KYNA,Artindi
UC-aXv7v3hKkCdYxeAHmtSVg,http://www.youtube.com/channel/UC-aXv7v3hKkCdYxeAHmtSVg,PinoPrime
UC-lHJZR3Gqxm24_Vd_AJ5Yw,http://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie
UC00IK1Wju0gHV7N1LUGK03Q,http://www.youtube.com/channel/UC00IK1Wju0gHV7N1LUGK03Q,Dornes Mendin
UC05_VFP15Ll-Eui1MwMbyOg,http://www.youtube.com/channel/UC05_VFP15Ll-Eui1MwMbyOg,Paraspectre
UC0GLNhtTu7yI8rl6ZZGeezw,http://www.youtube.com/channel/UC0GLNhtTu7yI8rl6ZZGeezw,TheOdd2sOut
UC0VVYtw21rg2cokUystu2Dw,http://www.youtube.com/channel/UC0VVYtw21rg2cokUystu2Dw,SmallAnt
UC0e3QhIYukixgh5VVpKHH9Q,http://www.youtube.com/channel/UC0e3QhIYukixgh5VVpKHH9Q,Code Bullet
UC2Xd-TjJByJyK2w1zNwY0zQ,http://www.youtube.com/channel/UC2Xd-TjJByJyK2w1zNwY0zQ,Beyond Fireship
UC2eYFnH61tmytImy1mTYvhA,http://www.youtube.com/channel/UC2eYFnH61tmytImy1mTYvhA,Luke Smith
UC3FwaVaqMKb47gIsh8WDylA,http://www.youtube.com/channel/UC3FwaVaqMKb47gIsh8WDylA,The Harry Gold Show
UC3rKyqx3PiaMGkq8w4q1QWw,http://www.youtube.com/channel/UC3rKyqx3PiaMGkq8w4q1QWw,DeadlyComics
UC3tMH8u6yG3mSxi-qpfmpkA,http://www.youtube.com/channel/UC3tMH8u6yG3mSxi-qpfmpkA,TomSka & Friends
UC44G0QdnNQbBLkvK5HybamQ,http://www.youtube.com/channel/UC44G0QdnNQbBLkvK5HybamQ,Pedro Araujo
